,avg price
0,14735
1,14057
2,14662
3,16334
4,18357
5,20178
6,20904
7,21601
8,24040
9,27040
10,31721
11,27848
12,24267
13,25254
14,29551
15,34845
16,36903
17,37667
18,38269
19,39369
20,38728
21,34842
22,34284
23,38054
24,39516
25,40053
26,43333
27,45492
28,34226
29,21001
30,23544
31,25991
32,30033
33,29768
34,27620
35,30282
36,32520
37,32425
38,34684
39,37355
40,35661
41,37479
42,38378
43,35905
44,28927
45,26385
46,30320
47,36749
48,31220
49,34887
50,38932
51,38326
52,38139
53,39752
54,39966
55,40459
56,41601
57,37899
58,38460
59,40518
60,40974
61,40473
62,41573
63,43623
64,44853
65,47711
66,46581
67,46897
68,49631
69,51000
70,54317
71,56042
72,23370
73,32169
74,37659
75,36047
76,34947
77,34491
78,36460
79,31788
80,33224
81,24351
82,31665
83,29399
84,33394
85,27552
86,28724
87,29100
88,30363
89,32522
90,36231
91,29500
92,34402
93,35317
94,37593
95,38311
96,38620
97,39882
98,41637
99,42262
100,40380
101,39362
102,40169
103,42180
104,43271
105,45291
106,15970
107,38771
108,44627
109,46657
110,47399
111,47700
112,48855
113,51174
114,52228
115,52622
116,54008
117,47635
118,51437
119,53195
120,55632
121,58625
122,61626
123,64367
124,58227
125,58271
126,62559
127,66425
128,66708
129,66946
130,69346
131,75332
132,83571
133,91898
134,84101
135,80803
136,77823
137,76465
138,74939
139,73492
140,83723
141,75717
142,76093
143,73501
144,73357
145,73872
146,74113
147,74503
148,73896
149,74680
150,73785
151,73875
152,74075
153,73633
154,73687
155,74216
156,76618
157,74830
158,80759
159,79099
160,80020
161,83171
162,82642
163,82172
164,85424
165,84703
166,84572
167,82352
168,83244
169,83148
170,85127
171,85058
172,84483
173,87235
174,86946
175,86523
176,88359
177,88665
178,88412
179,87685
180,88240
181,87916
182,89850
183,90209
184,89532
185,92250
186,91629
187,91415
188,93540
189,93130
190,92848
191,87936
192,87660
193,88176
194,87089
195,89018
196,87900
197,88380
198,88365
199,87410
200,88070
201,87374
202,87508
203,89565
